slate_date,slate_label,selection,matchup,game_time,market,recommended_side,recommendation,expected_count,reference_line,line_gap,probability_over,model_probability,confidence,projection_note,status,generated_at
2026-06-10,"June 10, 2026",Cal Raleigh,Seattle Mariners at Baltimore Orioles,6:35 PM ET,batter_total_bases,Over,Over 1.5 TB,1.9451070141247946,1.5,0.4451070141247946,0.578932388209833,0.578932388209833,31,Lineup unconfirmed · reference over 1.5 TB,Batter watch,2026-06-10T17:00:54+0000
2026-06-10,"June 10, 2026",Rafael Devers,Washington Nationals at San Francisco Giants,3:45 PM ET,batter_total_bases,Over,Over 1.5 TB,1.9339454540121883,1.5,0.4339454540121883,0.5758199914855057,0.5758199914855057,30,Lineup unconfirmed · reference over 1.5 TB,Batter watch,2026-06-10T17:00:54+0000
2026-06-10,"June 10, 2026",YRFI,Philadelphia Phillies at Toronto Blue Jays,7:07 PM ET,nrfi,YRFI,YRFI,NA,0.5,NA,0.44700607393297725,0.5529939260670227,30,Max Scherzer vs Jesús Luzardo,Probable starters,2026-06-10T17:00:54+0000
2026-06-10,"June 10, 2026",Reid Detmers,Houston Astros at Los Angeles Angels,9:38 PM ET,pitcher_strikeouts,Under,Under 7.5 K,6.993466608105194,7.5,-0.5065333918948056,0.40031267191377223,0.5996873280862278,29.2,Probable starter · model vs reference 7.5 K,Probable starter,2026-06-10T17:00:54+0000
2026-06-10,"June 10, 2026",Julio Rodríguez,Seattle Mariners at Baltimore Orioles,6:35 PM ET,batter_total_bases,Over,Over 1.5 TB,1.9202315439695274,1.5,0.42023154396952744,0.571972843203068,0.571972843203068,28.7,Lineup unconfirmed · reference over 1.5 TB,Batter watch,2026-06-10T17:00:54+0000
2026-06-10,"June 10, 2026",Ryne Nelson,Arizona Diamondbacks at Miami Marlins,6:40 PM ET,pitcher_strikeouts,Under,Under 4.5 K,4.139134537685126,4.5,-0.36086546231487393,0.3983237998894319,0.6016762001105681,27.3,Probable starter · model vs reference 4.5 K,Probable starter,2026-06-10T17:00:54+0000
2026-06-10,"June 10, 2026",Salvador Perez,Texas Rangers at Kansas City Royals,7:40 PM ET,batter_total_bases,Over,Over 1.5 TB,1.8930138432524894,1.5,0.39301384325248945,0.5642623915090462,0.5642623915090462,26.2,Lineup unconfirmed · reference over 1.5 TB,Batter watch,2026-06-10T17:00:54+0000
2026-06-10,"June 10, 2026",Kyle Tucker,Los Angeles Dodgers at Pittsburgh Pirates,6:40 PM ET,batter_total_bases,Over,Over 1.5 TB,1.8876968325715433,1.5,0.3876968325715433,0.5627445023508502,0.5627445023508502,25.7,Lineup unconfirmed · reference over 1.5 TB,Batter watch,2026-06-10T17:00:54+0000
2026-06-10,"June 10, 2026",YRFI,Seattle Mariners at Baltimore Orioles,6:35 PM ET,nrfi,YRFI,YRFI,NA,0.5,NA,0.45706806341643286,0.5429319365835672,24.3,Brandon Young vs George Kirby,Probable starters,2026-06-10T17:00:54+0000
2026-06-10,"June 10, 2026",Munetaka Murakami,Atlanta Braves at Chicago White Sox,7:40 PM ET,batter_total_bases,Over,Over 1.5 TB,1.8628947859193716,1.5,0.36289478591937163,0.5556139045489974,0.5556139045489974,23.4,Lineup unconfirmed · reference over 1.5 TB,Batter watch,2026-06-10T17:00:54+0000
2026-06-10,"June 10, 2026",Gleyber Torres,Minnesota Twins at Detroit Tigers,6:40 PM ET,batter_total_bases,Over,Over 1.5 TB,1.8492603646134034,1.5,0.3492603646134034,0.5516588878312572,0.5516588878312572,22.2,Lineup unconfirmed · reference over 1.5 TB,Batter watch,2026-06-10T17:00:54+0000
2026-06-10,"June 10, 2026",Ben Rice,New York Yankees at Cleveland Guardians,1:10 PM ET,batter_total_bases,Over,Over 1.5 TB,1.8415870240416539,1.5,0.34158702404165386,0.5494221084526401,0.5494221084526401,21.5,Lineup unconfirmed · reference over 1.5 TB,Batter watch,2026-06-10T17:00:54+0000
2026-06-10,"June 10, 2026",Corbin Carroll,Arizona Diamondbacks at Miami Marlins,6:40 PM ET,batter_total_bases,Over,Over 1.5 TB,1.8377955610306627,1.5,0.33779556103066266,0.5483139956391634,0.5483139956391634,21.1,Lineup unconfirmed · reference over 1.5 TB,Batter watch,2026-06-10T17:00:54+0000
2026-06-10,"June 10, 2026",Mookie Betts,Los Angeles Dodgers at Pittsburgh Pirates,6:40 PM ET,batter_total_bases,Over,Over 1.5 TB,1.8325332111388226,1.5,0.3325332111388226,0.5467728173511541,0.5467728173511541,20.6,Lineup unconfirmed · reference over 1.5 TB,Batter watch,2026-06-10T17:00:54+0000
2026-06-10,"June 10, 2026",Randy Arozarena,Seattle Mariners at Baltimore Orioles,6:35 PM ET,batter_total_bases,Over,Over 1.5 TB,1.8306190434922545,1.5,0.33061904349225446,0.5462113021285637,0.5462113021285637,20.4,Lineup unconfirmed · reference over 1.5 TB,Batter watch,2026-06-10T17:00:54+0000
2026-06-10,"June 10, 2026",NRFI,New York Yankees at Cleveland Guardians,1:10 PM ET,nrfi,NRFI,NRFI,NA,0.5,NA,0.5349718299098066,0.5349718299098066,19.8,Parker Messick vs Carlos Rodón,Probable starters,2026-06-10T17:00:54+0000
2026-06-10,"June 10, 2026",Miguel Vargas,Atlanta Braves at Chicago White Sox,7:40 PM ET,batter_total_bases,Over,Over 1.5 TB,1.809816399255486,1.5,0.3098163992554861,0.5400774882415269,0.5400774882415269,18.5,Lineup unconfirmed · reference over 1.5 TB,Batter watch,2026-06-10T17:00:54+0000
2026-06-10,"June 10, 2026",Brandon Young,Seattle Mariners at Baltimore Orioles,6:35 PM ET,pitcher_strikeouts,Over,Over 3.5 K,3.935550476252614,3.5,0.4355504762526139,0.5538382641184855,0.5538382641184855,18.4,Probable starter · model vs reference 3.5 K,Probable starter,2026-06-10T17:00:54+0000
2026-06-10,"June 10, 2026",Junior Caminero,Boston Red Sox at Tampa Bay Rays,1:10 PM ET,batter_total_bases,Over,Over 1.5 TB,1.8081605757683639,1.5,0.30816057576836386,0.5395867881732814,0.5395867881732814,18.3,Lineup unconfirmed · reference over 1.5 TB,Batter watch,2026-06-10T17:00:54+0000
2026-06-10,"June 10, 2026",Ronald Acuña Jr.,Atlanta Braves at Chicago White Sox,7:40 PM ET,batter_total_bases,Over,Over 1.5 TB,1.8029113043432818,1.5,0.30291130434328184,0.5380287761033347,0.5380287761033347,17.8,Lineup unconfirmed · reference over 1.5 TB,Batter watch,2026-06-10T17:00:54+0000
2026-06-10,"June 10, 2026",Cody Bellinger,New York Yankees at Cleveland Guardians,1:10 PM ET,batter_total_bases,Over,Over 1.5 TB,1.800867524035447,1.5,0.30086752403544703,0.5374211845799398,0.5374211845799398,17.6,Lineup unconfirmed · reference over 1.5 TB,Batter watch,2026-06-10T17:00:54+0000
2026-06-10,"June 10, 2026",YRFI,Arizona Diamondbacks at Miami Marlins,6:40 PM ET,nrfi,YRFI,YRFI,NA,0.5,NA,0.468869308132017,0.531130691867983,17.6,Ryan Gusto vs Ryne Nelson,Probable starters,2026-06-10T17:00:54+0000
2026-06-10,"June 10, 2026",Michael King,Cincinnati Reds at San Diego Padres,4:10 PM ET,pitcher_strikeouts,Under,Under 5.5 K,5.282475651858164,5.5,-0.2175243481418363,0.4334766720942165,0.5665233279057835,17.5,Probable starter · model vs reference 5.5 K,Probable starter,2026-06-10T17:00:54+0000
2026-06-10,"June 10, 2026",Josh Jung,Texas Rangers at Kansas City Royals,7:40 PM ET,batter_total_bases,Over,Over 1.5 TB,1.7907317467839092,1.5,0.29073174678390923,0.5343997802091915,0.5343997802091915,16.6,Lineup unconfirmed · reference over 1.5 TB,Batter watch,2026-06-10T17:00:54+0000
2026-06-10,"June 10, 2026",Kyle Schwarber,Philadelphia Phillies at Toronto Blue Jays,7:07 PM ET,batter_total_bases,Over,Over 1.5 TB,1.7902180021441327,1.5,0.29021800214413274,0.5342462753328616,0.5342462753328616,16.6,Lineup unconfirmed · reference over 1.5 TB,Batter watch,2026-06-10T17:00:54+0000
2026-06-10,"June 10, 2026",Drake Baldwin,Atlanta Braves at Chicago White Sox,7:40 PM ET,batter_total_bases,Over,Over 1.5 TB,1.7867800593366718,1.5,0.28678005933667183,0.5332181357691222,0.5332181357691222,16.3,Lineup unconfirmed · reference over 1.5 TB,Batter watch,2026-06-10T17:00:54+0000
2026-06-10,"June 10, 2026",Corey Seager,Texas Rangers at Kansas City Royals,7:40 PM ET,batter_total_bases,Over,Over 1.5 TB,1.786145711401962,1.5,0.2861457114019621,0.533028259559283,0.533028259559283,16.2,Lineup unconfirmed · reference over 1.5 TB,Batter watch,2026-06-10T17:00:54+0000
2026-06-10,"June 10, 2026",Iván Herrera,St. Louis Cardinals at New York Mets,7:10 PM ET,batter_total_bases,Over,Over 1.5 TB,1.7820752177006554,1.5,0.28207521770065536,0.5318085976480842,0.5318085976480842,15.8,Lineup unconfirmed · reference over 1.5 TB,Batter watch,2026-06-10T17:00:54+0000
2026-06-10,"June 10, 2026",Yandy Díaz,Boston Red Sox at Tampa Bay Rays,1:10 PM ET,batter_total_bases,Over,Over 1.5 TB,1.7774460433765435,1.5,0.27744604337654355,0.5304188854729184,0.5304188854729184,15.4,Lineup unconfirmed · reference over 1.5 TB,Batter watch,2026-06-10T17:00:54+0000
2026-06-10,"June 10, 2026",Luis Arraez,Washington Nationals at San Francisco Giants,3:45 PM ET,batter_total_bases,Over,Over 1.5 TB,1.774665212110935,1.5,0.274665212110935,0.5295827049920172,0.5295827049920172,15.1,Lineup unconfirmed · reference over 1.5 TB,Batter watch,2026-06-10T17:00:54+0000
2026-06-10,"June 10, 2026",Josh Naylor,Seattle Mariners at Baltimore Orioles,6:35 PM ET,batter_total_bases,Over,Over 1.5 TB,1.7721785491212574,1.5,0.2721785491212574,0.5288341190932928,0.5288341190932928,14.9,Lineup unconfirmed · reference over 1.5 TB,Batter watch,2026-06-10T17:00:54+0000
2026-06-10,"June 10, 2026",Alec Burleson,St. Louis Cardinals at New York Mets,7:10 PM ET,batter_total_bases,Over,Over 1.5 TB,1.7652788328120417,1.5,0.2652788328120417,0.526752778128404,0.526752778128404,14.2,Lineup unconfirmed · reference over 1.5 TB,Batter watch,2026-06-10T17:00:54+0000
2026-06-10,"June 10, 2026",Kyle Stowers,Arizona Diamondbacks at Miami Marlins,6:40 PM ET,batter_total_bases,Over,Over 1.5 TB,1.7621526634246438,1.5,0.26215266342464383,0.5258076970722276,0.5258076970722276,13.9,Lineup unconfirmed · reference over 1.5 TB,Batter watch,2026-06-10T17:00:54+0000
2026-06-10,"June 10, 2026",Trent Grisham,New York Yankees at Cleveland Guardians,1:10 PM ET,batter_total_bases,Over,Over 1.5 TB,1.7508715780689352,1.5,0.25087157806893523,0.5223866567304415,0.5223866567304415,12.8,Lineup unconfirmed · reference over 1.5 TB,Batter watch,2026-06-10T17:00:54+0000
